symbol,name,sector
CBA,Commonwealth Bank,Financials
BHP,BHP Group Limited,Materials
WBC,Westpac Banking Corp,Financials
NAB,National Australia Bank Limited,Financials
ANZ,ANZ Group Holdings Limited,Financials
WES,Wesfarmers Limited,Consumer Discretionary
CSL,CSL Limited,Health Care
MQG,Macquarie Group Limited,Financials
GMG,Goodman Group,Real Estate
FMG,Fortescue Ltd,Materials
TLS,Telstra Group Limited,Communication Services
RIO,Rio Tinto,Materials
WDS,Woodside Energy Group Ltd,Energy
TCL,Transurban Group,Industrials
ALL,Aristocrat Leisure Limited,Consumer Discretionary
SIG,Sigma Healthcare Limited,Health Care
WOW,Woolworths Group Limited,Consumer Staples
NST,Northern Star Resources Limited,Materials
BXB,Brambles Limited,Industrials
QBE,QBE Insurance Group Limited,Financials
COL,Coles Group Limited,Consumer Staples
REA,REA Group Ltd,Communication Services
PME,Pro Medicus Limited,Health Care
XRO,Xero Limited,Information Technology
WTC,WiseTech Global Limited,Information Technology
VAS,Vanguard Australian Shares Index ETF,Unclassified
RMD,ResMed Inc,Health Care
EVN,Evolution Mining Limited,Materials
CPU,Computershare Limited,Industrials
SCG,Scentre Group Limited,Real Estate
SUN,Suncorp Group Limited,Financials
STO,Santos Limited,Energy
ORG,Origin Energy Limited,Utilities
SGH,SGH Limited,Industrials
FPH,Fisher & Paykel Healthcare Corporation Limited,Health Care
COH,Cochlear Limited,Health Care
IAG,Insurance Australia Group Limited,Financials
SOLDA,Washington H. Soul Pattinson and Company Limited (Deferred),Financials
QAN,Qantas Airways Limited,Industrials
SGP,Stockland,Real Estate
SOL,Washington H. Soul Pattinson and Company Limited,Financials
LYC,Lynas Rare Earths Limited,Materials
S32,South32 Limited,Materials
VGS,Vanguard MSCI Index International Shares ETF,Unclassified
MPL,Medibank Private Limited,Financials
CAR,CAR Group Limited,Communication Services
JHX,James Hardie Industries plc,Materials
IVV,iShares S&P 500 ETF,Unclassified
NEM,Newmont Corporation,Materials
TNE,Technology One Limited,Information Technology
AIA,Auckland International Airport Limited,Industrials
TLC,The Lottery Corporation Limited,Consumer Discretionary
APA,APA Group,Utilities
VCX,Vicinity Centres,Real Estate
ALQ,ALS Limited,Industrials
JBH,JB Hi-Fi Limited,Consumer Discretionary
ASX,ASX Limited,Financials
IFT,Infratil Limited,Financials
NXT,NEXTDC Limited,Information Technology
CHC,Charter Hall Group,Real Estate
ORI,Orica Limited,Materials
SHL,Sonic Healthcare Limited,Health Care
TPG,TPG Telecom Limited,Communication Services
GPT,The GPT Group,Real Estate
PLS,Pilbara Minerals Limited,Materials
SEK,SEEK Limited,Communication Services
BSL,BlueScope Steel Limited,Materials
HUB,HUB24 Limited,Financials
AFI,Australian Foundation Investment Company Limited,Financials
APE,Eagers Automotive Limited,Consumer Discretionary
MIN,Mineral Resources Limited,Materials
HVN,Harvey Norman Holdings Limited,Consumer Discretionary
MGR,Mirvac Group,Real Estate
360,"Life360, Inc.",Information Technology
A200,BetaShares Australia 200 ETF,Unclassified
AMC,Amcor Limited,Materials
MCY,Mercury NZ Limited,Utilities
QUAL,VanEck MSCI International Quality ETF,Unclassified
NDQ,BetaShares NASDAQ 100 ETF,Unclassified
DXS,Dexus,Real Estate
QUB,Qube Holdings Limited,Industrials
IOZ,iShares Core S&P/ASX 200 ETF,Unclassified
NWL,Netwealth Group Limited,Financials
YAL,Yancoal Australia Ltd,Energy
RHC,Ramsay Health Care Limited,Health Care
SFR,Sandfire Resources Limited,Materials
BEN,Bendigo and Adelaide Bank Limited,Financials
ALD,Ampol Limited,Energy
WOR,Worley Limited,Industrials
REH,Reece Limited,Industrials
ALX,Atlas Arteria,Industrials
A2M,The A2 Milk Company Limited,Consumer Staples
ARG,Argo Investments Limited,Financials
MGOC,Magellan Global Fund (Open Class) (Managed Fund),Unclassified
MEZ,Meridian Energy Limited,Utilities
CDA,Codan Limited,Information Technology
GMD,Genesis Minerals Limited,Materials
EDV,Endeavour Group Limited,Consumer Staples
PRU,Perseus Mining Limited,Materials
VTS,Vanguard US Total Market Shares Index ETF,Unclassified
CGF,Challenger Limited,Financials
DACE,Dimensional Australian Core Equity Trust (Managed Fund),Unclassified
STW,SPDR S&P/ASX 200 Fund,Unclassified
RMS,Ramelius Resources Limited,Materials
WHC,Whitehaven Coal Limited,Energy
AZJ,Aurizon Holdings Limited,Industrials
AGL,AGL Energy Limited,Utilities
SDF,Steadfast Group Limited,Financials
VGAD,Vanguard MSCI Index International Shares (Hedged) ETF,Unclassified
DNL,Dyno Nobel Limited,Materials
VHY,Vanguard Australian Shares High Yield ETF,Unclassified
CWY,Cleanaway Waste Management Limited,Industrials
CMM,Capricorn Metals Ltd,Materials
IOO,iShares Global 100 ETF,Unclassified
TLX,Telix Pharmaceuticals Limited,Health Care
ANN,Ansell Limited,Health Care
EBO,EBOS Group Limited,Health Care
DOW,Downer EDI Limited,Industrials
WGX,Westgold Resources Limited,Materials
ZIP,Zip Co Limited,Financials
DGCE,Dimensional Global Core Equity Trust (Managed Fund)  Unhedged Class,Unclassified
GGP,Greatland Resources Limited,Materials
VEU,Vanguard All-World Ex-US Shares Index ETF,Unclassified
VAU,Vault Minerals Limited,Materials
RRL,Regis Resources Limited,Materials
VNT,Ventia Services Group Limited,Industrials
TWE,Treasury Wine Estates Limited,Consumer Staples
XYZ,Block Inc.,Financials
BOQ,Bank of Queensland Limited,Financials
AMP,AMP Limited,Financials
GQG,GQG Partners Inc.,Financials
AAA,BetaShares Australian High Interest Cash ETF,Unclassified
PNI,Pinnacle Investment Management Group Limited,Financials
MTS,Metcash Limited,Consumer Staples
BRG,Breville Group Limited,Consumer Discretionary
AUB,AUB Group Limited,Financials
PDN,Paladin Energy Limited,Energy
HYGG,Hyperion Global Growth Companies Fund (Managed Fund),Unclassified
LOV,Lovisa Holdings Limited,Consumer Discretionary
SPK,Spark New Zealand Limited,Communication Services
IGO,IGO Limited,Materials
TUA,Tuas Limited,Communication Services
ETHI,BetaShares Global Sustainability Leaders ETF,Unclassified
LNW,Light & Wonder Inc,Consumer Discretionary
CEN,Contact Energy Limited,Utilities
LLC,Lendlease Group,Real Estate
VBND,Vanguard Global Aggregate Bond Index (Hedged) ETF,Unclassified
DFGH,Dimensional Global Core Equity Trust (Managed Fund)  AUD Hedged Class,Unclassified
DRO,Droneshield Limited,Industrials
BFL,BSP Financial Group Limited,Financials
SUL,Super Retail Group Limited,Consumer Discretionary
CNU,Chorus Limited,Communication Services
NHF,NIB Holdings Limited,Financials
NHC,New Hope Corporation Limited,Energy
WAF,West African Resources Limited,Materials
VDHG,Vanguard Diversified High Growth Index ETF,Unclassified
IAF,iShares Core Composite Bond ETF,Unclassified
LTR,Liontown Resources Limited,Materials
AAI,Alcoa Corporation,Unclassified
VAP,Vanguard Australian Property Securities Index ETF,Unclassified
NSR,National Storage REIT,Real Estate
EMR,Emerald Resources NL,Materials
IHVV,iShares S&P 500 (AUD Hedged) ETF,Unclassified
FBU,Fletcher Building Limited,Industrials
RWC,Reliance Worldwide Corporation Limited,Industrials
MSB,Mesoblast Limited,Health Care
MVW,Vaneck Vectors Australian Equal Weight ETF,Unclassified
IFL,Insignia Financial Ltd,Financials
VAF,Vanguard Australian Fixed Interest Index ETF,Unclassified
NIC,Nickel Industries Limited,Materials
SGM,Sims Limited,Materials
CLW,Charter Hall Long WALE REIT,Real Estate
BGBL,Betashares Global Shares ETF,Unclassified
ARB,ARB Corporation Limited,Consumer Discretionary
CIA,Champion Iron Limited,Materials
VEA,Viva Energy Group Limited,Energy
ASB,Austal Limited,Industrials
SUBD,VanEck Australian Subordinated Debt ETF,Unclassified
BPT,Beach Energy Limited,Energy
TPW,Temple & Webster Group Limited,Consumer Discretionary
MP1,Megaport Limited,Information Technology
GDG,Generation Development Group Limited,Financials
PMV,Premier Investments Limited,Consumer Discretionary
HDN,HomeCo Daily Needs REIT,Real Estate
RGN,Region Group,Real Estate
ILU,Iluka Resources Limited,Materials
MFF,MFF Capital Investments Limited,Financials
BWP,BWP Trust,Real Estate
L1G,L1 Group Limited,Financials
CSC,Capstone Copper Corp,Materials
PXA,PEXA Group Limited,Real Estate
GYG,Guzman y Gomez Limited,Consumer Discretionary
NEU,Neuren Pharmaceuticals Limited,Health Care
FLT,Flight Centre Travel Group Limited,Consumer Discretionary
SLX,Silex Systems Limited,Industrials
RYM,Ryman Healthcare Limited,Health Care
VGN,Virgin Australia Holdings Limited,Industrials
HBRD,BetaShares Active Australian Hybrids Fund (managed fund),Unclassified
SNZ,Summerset Group Holdings Limited,Health Care
ORA,Orora Group Limited,Materials
PRN,Perenti Limited,Materials
GNE,Genesis Energy Limited,Utilities
MXT,Metrics Master Income Trust,Financials
CQR,Charter Hall Retail REIT,Real Estate
TAH,Tabcorp Holdings Limited,Consumer Discretionary
EVT,EVT Limited,Communication Services
CTD,Corporate Travel Management Limited,Consumer Discretionary
INA,Ingenia Communities Group,Real Estate
MND,Monadelphous Group Limited,Industrials
REG,Regis Healthcare Limited,Health Care
OBM,Ora Banda Mining Ltd,Materials
LSF,L1 Long Short Fund Limited,Financials
CIP,Centuria Industrial REIT,Real Estate
FRW,Freightways Group Limited,Industrials
PPT,Perpetual Limited,Financials
QHAL,VanEck MSCI International Quality (Hedged) ETF,Unclassified
DBI,Dalrymple Bay Infrastructure Limited,Industrials
NWH,NRW Holdings Limited,Industrials
NXG,NexGen Energy (Canada) Ltd,Energy
NCK,Nick Scali Limited,Consumer Discretionary
IPX,IperionX Limited,Materials
DRR,Deterra Royalties Limited,Materials
ZIM,Zimplats Holdings Limited,Materials
WAM,WAM Capital Limited,Financials
SMR,Stanmore Resources Limited,Materials
SDR,SiteMinder Limited,Information Technology
PNR,Pantoro Gold Limited,Materials
CAT,Catapult Sports Ltd,Information Technology
GNC,GrainCorp Limited,Consumer Staples
CNI,Centuria Capital Group,Real Estate
GOZ,Growthpoint Properties Australia,Real Estate
GLF,GemLife Communities Group,Real Estate
NWS,News Corporation,Communication Services
RSG,Resolute Mining Limited,Materials
DDR,Dicker Data Limited,Information Technology
HGBL,BetaShares Global Shares ETF - Currency Hedged,Unclassified
ASK,Abacus Storage King,Real Estate
MAF,MA Financial Group Limited,Financials
JDO,Judo Capital Holdings Limited,Financials
NEC,Nine Entertainment Co. Holdings Limited,Communication Services
DMP,Domino's Pizza Enterprises Limited,Consumer Discretionary
CU6,Clarity Pharmaceuticals Ltd,Health Care
WLE,WAM Leaders Limited,Financials
OCL,Objective Corporation Limited,Information Technology
CYL,Catalyst Metals Limited,Materials
WPR,Waypoint REIT,Real Estate
MAQ,Macquarie Technology Group Limited,Information Technology
IMD,IMDEX Limited,Materials
QPON,BetaShares Australian Bank Senior Floating Rate Bond ETF,Unclassified
MAD,Mader Group Limited,Industrials
ABB,Aussie Broadband Limited,Communication Services
SRG,SRG Global Limited,Industrials
BGL,Bellevue Gold Limited,Materials
AIZ,Air New Zealand Limited,Industrials
IRE,Iress Limited,Information Technology
MGH,MAAS Group Holdings Limited,Industrials
FANG,Global X FANG+ ETF,Unclassified
MFG,Magellan Financial Group Limited,Financials
BGA,Bega Cheese Limited,Consumer Staples
DYL,Deep Yellow Limited,Energy
VGE,Vanguard FTSE Emerging Markets Shares ETF,Unclassified
IFRA,VanEck FTSE Global Infrastructure (Hedged) ETF,Unclassified
SLC,Superloop Limited,Communication Services
VUL,Vulcan Energy Resources Limited,Materials
QSML,Vaneck Vectors MSCI Inter Small Companies Qual ETF,Unclassified
CBO,Cobram Estate Olives Limited,Consumer Staples
IEL,IDP Education Limited,Consumer Discretionary
CRED,BetaShares Australian Investment Grade Corporate Bond ETF,Unclassified
SNL,Supply Network Limited,Consumer Discretionary
WEB,WEB Travel Group Limited,Consumer Discretionary
ARF,Arena REIT,Real Estate
ELD,Elders Limited,Consumer Staples
